"STATISTIC","STATISTIC Label","TLIST(Q1)","Quarter","C03349V04063","Eircode Output","UNIT","VALUE"
"NDQ07","New Dwelling Completion","20121","2012Q1","F93","F93: Lifford","Number","22"
"NDQ07","New Dwelling Completion","20121","2012Q1","F94","F94: Donegal","Number","75"
"NDQ07","New Dwelling Completion","20121","2012Q1","H12","H12: Cavan","Number","8"
"NDQ07","New Dwelling Completion","20121","2012Q1","H14","H14: Belturbet","Number","3"
"NDQ07","New Dwelling Completion","20121","2012Q1","H16","H16: Cootehill","Number","3"
"NDQ07","New Dwelling Completion","20121","2012Q1","H18","H18: Monaghan","Number","8"
"NDQ07","New Dwelling Completion","20121","2012Q1","H23","H23: Clones","Number","0"
"NDQ07","New Dwelling Completion","20121","2012Q1","H53","H53: Ballinasloe","Number","12"
"NDQ07","New Dwelling Completion","20121","2012Q1","H54","H54: Tuam","Number","10"
"NDQ07","New Dwelling Completion","20121","2012Q1","H62","H62: Loughrea","Number","5"
"NDQ07","New Dwelling Completion","20121","2012Q1","H65","H65: Athenry","Number","6"
"NDQ07","New Dwelling Completion","20121","2012Q1","H71","H71: Clifden","Number","1"
"NDQ07","New Dwelling Completion","20121","2012Q1","H91","H91: Galway","Number","46"
"NDQ07","New Dwelling Completion","20121","2012Q1","K32","K32: Balbriggan","Number","2"
"NDQ07","New Dwelling Completion","20121","2012Q1","K34","K34: Skerries","Number","1"
"NDQ07","New Dwelling Completion","20121","2012Q1","K36","K36: Malahide","Number","3"
"NDQ07","New Dwelling Completion","20121","2012Q1","K45","K45: Lusk","Number","1"
"NDQ07","New Dwelling Completion","20121","2012Q1","K56","K56: Rush","Number","0"
"NDQ07","New Dwelling Completion","20121","2012Q1","K67","K67: Swords","Number","18"
"NDQ07","New Dwelling Completion","20121","2012Q1","K78","K78: Lucan","Number","1"
"NDQ07","New Dwelling Completion","20121","2012Q1","N37","N37: Athlone","Number","9"
"NDQ07","New Dwelling Completion","20121","2012Q1","N39","N39: Longford","Number","17"
"NDQ07","New Dwelling Completion","20121","2012Q1","N41","N41: Carrick-on-Shannon","Number","8"
"NDQ07","New Dwelling Completion","20121","2012Q1","N91","N91: Mullingar","Number","20"
"NDQ07","New Dwelling Completion","20121","2012Q1","P12","P12: Macroom","Number","12"
"NDQ07","New Dwelling Completion","20121","2012Q1","P14","P14: Crookstown","Number","4"
"NDQ07","New Dwelling Completion","20121","2012Q1","P17","P17: Kinsale","Number","6"
"NDQ07","New Dwelling Completion","20121","2012Q1","P24","P24: Cobh","Number","1"
"NDQ07","New Dwelling Completion","20121","2012Q1","P25","P25: Midleton","Number","5"
"NDQ07","New Dwelling Completion","20121","2012Q1","P31","P31: Ballincollig","Number","4"
"NDQ07","New Dwelling Completion","20121","2012Q1","P32","P32: Rylane","Number","0"
"NDQ07","New Dwelling Completion","20121","2012Q1","P36","P36: Youghal","Number","5"
"NDQ07","New Dwelling Completion","20121","2012Q1","P43","P43: Carrigaline","Number","5"
"NDQ07","New Dwelling Completion","20121","2012Q1","P47","P47: Dunmanway","Number","8"
"NDQ07","New Dwelling Completion","20121","2012Q1","P51","P51: Mallow","Number","24"
"NDQ07","New Dwelling Completion","20121","2012Q1","P56","P56: Charleville","Number","2"
"NDQ07","New Dwelling Completion","20121","2012Q1","P61","P61: Fermoy","Number","3"
"NDQ07","New Dwelling Completion","20121","2012Q1","P67","P67: Mitchelstown","Number","2"
"NDQ07","New Dwelling Completion","20121","2012Q1","P72","P72: Bandon","Number","9"
"NDQ07","New Dwelling Completion","20121","2012Q1","P75","P75: Bantry","Number","9"
"NDQ07","New Dwelling Completion","20121","2012Q1","P81","P81: Skibbereen","Number","10"
"NDQ07","New Dwelling Completion","20121","2012Q1","P85","P85: Clonakilty","Number","2"
"NDQ07","New Dwelling Completion","20121","2012Q1","R14","R14: Athy","Number","20"
"NDQ07","New Dwelling Completion","20121","2012Q1","R21","R21: Mhuine Bheag","Number","1"
"NDQ07","New Dwelling Completion","20121","2012Q1","R32","R32: Portlaoise","Number","22"
"NDQ07","New Dwelling Completion","20121","2012Q1","R35","R35: Tullamore","Number","5"
"NDQ07","New Dwelling Completion","20121","2012Q1","R42","R42: Birr","Number","4"
"NDQ07","New Dwelling Completion","20121","2012Q1","R45","R45: Edenderry","Number","1"
"NDQ07","New Dwelling Completion","20121","2012Q1","R51","R51: Kildare","Number","2"
"NDQ07","New Dwelling Completion","20121","2012Q1","R56","R56: Curragh","Number","4"
"NDQ07","New Dwelling Completion","20121","2012Q1","R93","R93: Carlow","Number","12"
"NDQ07","New Dwelling Completion","20121","2012Q1","R95","R95: Kilkenny","Number","21"
"NDQ07","New Dwelling Completion","20121","2012Q1","T12","T12: Cork Southside","Number","11"
"NDQ07","New Dwelling Completion","20121","2012Q1","T23","T23: Cork Northside","Number","10"
"NDQ07","New Dwelling Completion","20121","2012Q1","T34","T34: Carrignavar","Number","0"
"NDQ07","New Dwelling Completion","20121","2012Q1","T45","T45: Glanmire","Number","10"
"NDQ07","New Dwelling Completion","20121","2012Q1","T56","T56: Watergrasshill","Number","2"
"NDQ07","New Dwelling Completion","20121","2012Q1","V14","V14: Shannon","Number","10"
"NDQ07","New Dwelling Completion","20121","2012Q1","V15","V15: Kilrush","Number","3"
"NDQ07","New Dwelling Completion","20121","2012Q1","V23","V23: Caherciveen","Number","3"
"NDQ07","New Dwelling Completion","20121","2012Q1","V31","V31: Listowel","Number","6"
"NDQ07","New Dwelling Completion","20121","2012Q1","V35","V35: Kilmallock","Number","6"
"NDQ07","New Dwelling Completion","20121","2012Q1","V42","V42: Newcastle West","Number","2"
"NDQ07","New Dwelling Completion","20121","2012Q1","V92","V92: Tralee","Number","15"
"NDQ07","New Dwelling Completion","20121","2012Q1","V93","V93: Killarney","Number","23"
"NDQ07","New Dwelling Completion","20121","2012Q1","V94","V94: Limerick","Number","35"
"NDQ07","New Dwelling Completion","20121","2012Q1","V95","V95: Ennis","Number","19"
"NDQ07","New Dwelling Completion","20121","2012Q1","W12","W12: Newbridge","Number","2"
"NDQ07","New Dwelling Completion","20121","2012Q1","W23","W23: Celbridge","Number","15"
"NDQ07","New Dwelling Completion","20121","2012Q1","W34","W34: Monasterevin","Number","1"
"NDQ07","New Dwelling Completion","20121","2012Q1","W91","W91: Naas","Number","14"
"NDQ07","New Dwelling Completion","20121","2012Q1","X35","X35: Dungarvan","Number","3"
"NDQ07","New Dwelling Completion","20121","2012Q1","X42","X42: Kilmacthomas","Number","1"
"NDQ07","New Dwelling Completion","20121","2012Q1","X91","X91: Waterford","Number","13"
