"STATISTIC","STATISTIC Label","TLIST(Q1)","Quarter","C02342V02816","Type of House","C03789V04537","Local Authority","UNIT","VALUE"
"NDQ06","New Dwelling Completion","20111","2011Q1","06","Single house","2ae19629-1434-13a3-e055-000000000001","Cork City Council","Number","8"
"NDQ06","New Dwelling Completion","20111","2011Q1","06","Single house","2ae19629-14a2-13a3-e055-000000000001","Clare County Council","Number","45"
"NDQ06","New Dwelling Completion","20111","2011Q1","06","Single house","2ae19629-149d-13a3-e055-000000000001","Cavan County Council","Number","21"
"NDQ06","New Dwelling Completion","20111","2011Q1","06","Single house","2ae19629-14a3-13a3-e055-000000000001","Cork County Council","Number","145"
"NDQ06","New Dwelling Completion","20111","2011Q1","06","Single house","2ae19629-1492-13a3-e055-000000000001","Carlow County Council","Number","17"
"NDQ06","New Dwelling Completion","20111","2011Q1","06","Single house","2ae19629-1433-13a3-e055-000000000001","Dublin City Council","Number","6"
"NDQ06","New Dwelling Completion","20111","2011Q1","06","Single house","2ae19629-149f-13a3-e055-000000000001","Dún Laoghaire Rathdown County Council","Number","16"
"NDQ06","New Dwelling Completion","20111","2011Q1","06","Single house","2ae19629-14a4-13a3-e055-000000000001","Donegal County Council","Number","82"
"NDQ06","New Dwelling Completion","20111","2011Q1","06","Single house","2ae19629-14a0-13a3-e055-000000000001","Fingal County Council","Number","17"
"NDQ06","New Dwelling Completion","20111","2011Q1","06","Single house","2ae19629-14a5-13a3-e055-000000000001","Galway County Council","Number","92"
"NDQ06","New Dwelling Completion","20111","2011Q1","06","Single house","2ae19629-1435-13a3-e055-000000000001","Galway City Council","Number","3"
"NDQ06","New Dwelling Completion","20111","2011Q1","06","Single house","2ae19629-14a7-13a3-e055-000000000001","Kildare County Council","Number","37"
"NDQ06","New Dwelling Completion","20111","2011Q1","06","Single house","2ae19629-14a8-13a3-e055-000000000001","Kilkenny County Council","Number","36"
"NDQ06","New Dwelling Completion","20111","2011Q1","06","Single house","2ae19629-14a6-13a3-e055-000000000001","Kerry County Council","Number","51"
"NDQ06","New Dwelling Completion","20111","2011Q1","06","Single house","2ae19629-1490-13a3-e055-000000000001","Longford County Council","Number","9"
"NDQ06","New Dwelling Completion","20111","2011Q1","06","Single house","2ae19629-1491-13a3-e055-000000000001","Louth County Council","Number","34"
"NDQ06","New Dwelling Completion","20111","2011Q1","06","Single house","2ae19629-148f-13a3-e055-000000000001","Limerick City & County Council","Number","49"
"NDQ06","New Dwelling Completion","20111","2011Q1","06","Single house","2ae19629-148e-13a3-e055-000000000001","Leitrim County Council","Number","20"
"NDQ06","New Dwelling Completion","20111","2011Q1","06","Single house","2ae19629-148d-13a3-e055-000000000001","Laois County Council","Number","22"
"NDQ06","New Dwelling Completion","20111","2011Q1","06","Single house","2ae19629-1494-13a3-e055-000000000001","Meath County Council","Number","57"
"NDQ06","New Dwelling Completion","20111","2011Q1","06","Single house","2ae19629-1495-13a3-e055-000000000001","Monaghan County Council","Number","23"
"NDQ06","New Dwelling Completion","20111","2011Q1","06","Single house","2ae19629-1493-13a3-e055-000000000001","Mayo County Council","Number","64"
"NDQ06","New Dwelling Completion","20111","2011Q1","06","Single house","2ae19629-1496-13a3-e055-000000000001","Offaly County Council","Number","23"
"NDQ06","New Dwelling Completion","20111","2011Q1","06","Single house","2ae19629-1497-13a3-e055-000000000001","Roscommon County Council","Number","26"
"NDQ06","New Dwelling Completion","20111","2011Q1","06","Single house","2ae19629-14a1-13a3-e055-000000000001","South Dublin County Council","Number","13"
"NDQ06","New Dwelling Completion","20111","2011Q1","06","Single house","2ae19629-1498-13a3-e055-000000000001","Sligo County Council","Number","38"
